job_title,company_name,company_address,estimated_salary_usd,work_hour,city,state,zipcode,work_type,latitude,longitude
Data Center Engineer,Broadridge,"Newark, NJ 07102 (Central Business District area)", 87.5K - 111K a year,full-time,Newark,NJ,07102,On site,40.735657,-74.1723667
Data Engineer,Genuine Parts Company,"Atlanta, GA 30339", 106K - 135K a year,full-time,Atlanta,GA,30339,On site,33.7489924,-84.3902644
Data Engineer (Mid) (AD),Clarity Innovations,"Columbia, MD 21046", 138K - 175K a year,full-time,Columbia,MD,21046,On site,4.099917,-72.9088133
Sr Staff Data Engineer/ Staff Data Engineer - Hybrid,The Hartford,"Hybrid remote in Hartford, CT",unknown,full-time,Hartford,CT,unknown,Hybrid remote,41.764582,-72.6908547
"Cloud Data Engineer I - AWS, Python, Snowflake, SQL","The Travelers Companies, Inc.","Hartford, CT","102,600 - 169,200 a year",full-time,Hartford,CT,unknown,On site,41.764582,-72.6908547
Data Engineer,Base-2 Solutions,"Remote in Charleston, SC", 113K - 144K a year,full-time,Charleston,SC,unknown,Remote,32.7884363,-79.9399309
Data Science Engineer,AI Cyber Solutions,"Tampa, FL 33614", 106K - 135K a year,unknown,Tampa,FL,33614,On site,27.9477595,-82.458444
Data Engineer,MHS,"Atlanta, GA 30342 (Buckhead area)", 84K - 106K a year,full-time,Atlanta,GA,30342,On site,33.7489924,-84.3902644
Sr Data Engineer,Campus Crusade for Christ,"Hybrid remote in Orlando, FL",unknown,full-time,Orlando,FL,unknown,Hybrid remote,28.5421109,-81.3790304
Data Entry/Process Engineer,"Westfield Electroplating Company, Inc.","Westfield, MA 01085",20 an hour,unknown,Westfield,MA,01085,On site,42.1390327,-72.7584859
BrightDrop - Senior Data Engineer – Delivery Intelligence Group,General Motors,"Hybrid remote in Palo Alto, CA 94306","106,460 - 161,240 a year",full-time,Palo Alto,CA,94306,Hybrid remote,37.4443293,-122.1598465
Data Engineer,Rockstar Games San Diego & Toronto,"Hybrid remote in Carlsbad, CA","89,500 - 119,400 a year",full-time,Carlsbad,CA,unknown,Hybrid remote,33.1580933,-117.3505966
Senior Staff Software Engineer - Data Platform,Stellar Health,Remote, 190K - 240K a year,unknown,unknown,unknown,unknown,On site,unknown,unknown
"Senior Data Scientist / Data Engineer, Drive Systems",Tesla,"Sparks, NV 89434", 126K - 160K a year,full-time,Sparks,NV,89434,On site,39.5404679,-119.7487235
Senior Cloud Data Engineer,Maven Wave,"Remote in Chicago, IL 60606", 121K - 153K a year,monday to friday,Chicago,IL,60606,Remote,41.8755616,-87.6244212
SR Data Engineer,Marlabs Innovations Private Limited,"Piscataway, NJ", 118K - 149K a year,unknown,Piscataway,NJ,unknown,On site,40.5462553,-74.4660408
Human Network Data Engineer,Yorktown Systems Group,"Fort Eustis, VA 23604", 106K - 135K a year,full-time,Fort Eustis,VA,23604,On site,37.1259192,-76.60135221545953
Data Systems Engineer (Remote in TX),Central Health,"Remote in Austin, TX 78759", 72.3K - 91.5K a year,full-time,Austin,TX,78759,Remote,30.2711286,-97.7436995
Data Engineer - Analyst II,StratLytics,Remote, 95.3K - 121K a year,unknown,unknown,unknown,unknown,On site,unknown,unknown
Data Visualization Engineer,Ironclad Technnology Services,"Washington, DC", 95.4K - 121K a year,unknown,"Washington, DC",DC,unknown,On site,38.8950368,-77.0365427
Data Engineer,Texas A&M AgriLife,"College Station, TX", 86.7K - 110K a year,full-time,College Station,TX,unknown,On site,30.5955289,-96.3071042
Senior Data Engineer (Spark+Scala),Exadel,Hybrid remote in Georgia, 112K - 142K a year,unknown,unknown,GA,unknown,Hybrid remote,unknown,unknown
Senior Software Engineer (Data),WALGREENS,"Deerfield, IL 60015","91,950 - 235,440 a year",unknown,Deerfield,IL,60015,On site,42.1711365,-87.8445119
Data Engineer,"AmeriVet Partners Management, Inc","San Antonio, TX 78217 (Airport area)", 93K - 118K a year,unknown,San Antonio,TX,78217,On site,29.4246002,-98.4951405
Data Com Engineer,Engineering Network International,"Bellevue, WA 98006 (Eastgate area)", 72.5K - 91.8K a year,unknown,Bellevue,WA,98006,On site,47.6144219,-122.192337
"Senior Data Engineer, Kuiper Business Development",Amazon Kuiper Com Services LLC,"Redmond, WA","From 123,700 a year",full-time,Redmond,WA,unknown,On site,47.6694141,-122.1238767
Sr. Lead Data Engineer,"Chick-fil-A, Inc.","Atlanta, GA 30349", 107K - 136K a year,unknown,Atlanta,GA,30349,On site,33.7489924,-84.3902644
Data Migration Engineer - Arcadis Gen,Arcadis,"Philadelphia, PA 19107 (Washington Square area)", 84.6K - 107K a year,full-time,Philadelphia,PA,19107,On site,39.9527237,-75.1635262
Sr. Network Data Engineer,Chartis Federal,"Sterling, VA 20166","160,000 - 170,000 a year",full-time,Sterling,VA,20166,On site,31.8151416,-101.0452671
Senior Data Engineer,National Grid,"Remote in Waltham, MA 02451","112,000 - 158,000 a year",unknown,Waltham,MA,02451,Remote,42.3756401,-71.2358004
Data Engineer,"Credence Management Solutions, LLC","Hanscom AFB, MA 01731", 119K - 151K a year,full-time,Hanscom AFB,MA,01731,On site,42.458310850000004,-71.27796713907244
Data Engineer,Green Street,Hybrid remote in California,"85,000 - 95,000 a year",full-time,unknown,CA,unknown,Hybrid remote,unknown,unknown
Data Engineer,Kalibri Labs,Remote,"100,000 - 120,000 a year",full-time,unknown,unknown,unknown,On site,unknown,unknown
Data Engineer 3,Procore Technologies,"Austin, TX","126,800 - 174,350 a year",full-time,Austin,TX,unknown,On site,30.2711286,-97.7436995
Sr. Data Engineer,Contract Resources Group,"Aberdeen Proving Ground, MD 21005", 120K - 152K a year,full-time,Aberdeen Proving Ground,MD,21005,On site,39.4698142,-76.12733056970433
Sr. Data Engineer,"Banfield, The Pet Hospital","Vancouver, WA 98683 (Bella Vista area)","100,531 - 138,230 a year",full-time,Vancouver,WA,98683,On site,49.2608724,-123.113952
"Software Engineer, Data","Chartbeat, Inc.","Remote in Mountain View, CA","135,000 - 150,000 a year",unknown,Mountain View,CA,unknown,Remote,37.3893889,-122.0832101
"Software Engineer, Time Series and Real Time Data Streaming (Fully Remote)",LTK USA,"Remote in San Francisco, CA", 119K - 150K a year,unknown,San Francisco,CA,unknown,Remote,37.7790262,-122.419906
Cloud / Data Science Engineer,Parsons,"Centreville, VA","68,400 - 142,600 a year",full-time,Centreville,VA,unknown,On site,38.84487,-77.43540260778344
Data Engineer - PCHP,Parkland Health and Hospital System,"Dallas, TX 75201", 82.4K - 104K a year,unknown,Dallas,TX,75201,On site,32.7762719,-96.7968559
Data Engineer,Amgen,"Tampa, FL 33602 (Downtown area)", 109K - 139K a year,full-time,Tampa,FL,33602,On site,27.9477595,-82.458444
Senior Data Engineer,PowerSchool Group LLC,"Remote in Folsom, CA 95630","100,000 - 125,000 a year",full-time,Folsom,CA,95630,Remote,38.6779591,-121.1760583
Data Engineer,Life.Church,"Edmond, OK 73012", 64.6K - 81.8K a year,full-time,Edmond,OK,73012,On site,35.6571367,-97.4649038
Data Center/Systems Engineer,Konica Minolta Business Solutions,"Ramsey, NJ 07446", 91.8K - 116K a year,unknown,Ramsey,NJ,07446,On site,45.0165728,-93.0949501
GEIS Data Engineer,Cherokee Federal,"Hybrid remote in Silver Spring, MD","120,000 - 130,000 a year",full-time,Silver Spring,MD,unknown,Hybrid remote,38.9997621,-77.02403709829767
"Data Engineer, Platform",NexHealth,"Remote in San Francisco, CA", 145K - 184K a year,unknown,San Francisco,CA,unknown,Remote,37.7790262,-122.419906
Senior Data Engineer - Platform,Spokeo,"Remote in Pasadena, CA 91101","135,900 - 166,500 a year",full-time,Pasadena,CA,91101,Remote,34.1476452,-118.1444779
Data Engineer with Cosmos DB or Cassandra DB,Aptiva Healthcare,Remote,55 - 60 an hour,full-time,unknown,unknown,unknown,On site,unknown,unknown
"Cloud Data Engineer - AWS, Hive, Airflow",FlexIT Inc,"Beaverton, OR 97005 (Central Beaverton area)", 107K - 136K a year,full-time,Beaverton,OR,97005,On site,45.4871723,-122.80378
Data Engineer,1904labs,"St. Louis, MO 63136", 110K - 139K a year,full-time,St. Louis,MO,63136,On site,38.6280278,-90.1910154
Data Warehouse Engineer,Smartcar,Remote,"140,000 - 180,000 a year",full-time,unknown,unknown,unknown,On site,unknown,unknown
Data Engineer,First Resonance,"Los Angeles, CA","150,000 - 200,000 a year",full-time,Los Angeles,CA,unknown,On site,34.0536909,-118.242766
Data Engineer Only W2,IDC,"Dallas, TX", 108K - 137K a year,full-time,Dallas,TX,unknown,On site,32.7762719,-96.7968559
Data Engineer,Arcadia.io,"Boston, MA", 84.5K - 107K a year,full-time,Boston,MA,unknown,On site,42.3554334,-71.060511
NextGen Data Engineer,BICP,"Portland, OR", 92.9K - 118K a year,unknown,Portland,OR,unknown,On site,45.5202471,-122.674194
Data Center Facilities Engineer,TAYS INC,"Lakewood, CO 80225", 93.8K - 119K a year,full-time,Lakewood,CO,80225,On site,39.7085736,-105.0846694
"Data Engineer III, IT",Pediatric Associates,"Plantation, FL 33324", 107K - 135K a year,full-time,Plantation,FL,33324,On site,26.1275862,-80.2331036
Reference Data Management Engineer,Bristol Myers Squibb,"Hybrid remote in Princeton, NJ", 105K - 134K a year,unknown,Princeton,NJ,unknown,Hybrid remote,40.3492744,-74.6592958
Sr Big Data Engineer,DataDelivers LLC,"Schaumburg, IL 60195", 104K - 132K a year,full-time,Schaumburg,IL,60195,On site,42.0333608,-88.083406
Data Platform Engineer,Computing Concepts Inc.,"Hybrid remote in New York, NY 10019",Up to 80.07 an hour,full-time,New York,NY,10019,Hybrid remote,40.7127281,-74.0060152
PARADIM Data Engineer,Johns Hopkins University,"Baltimore, MD 21218 (Johns Hopkins Homewood area)","124,510 a year",full-time,Baltimore,MD,21218,On site,39.2908816,-76.610759
"Senior Data Engineer, IT Analytics",American Airlines,"Dallas, TX", 138K - 174K a year,unknown,Dallas,TX,unknown,On site,32.7762719,-96.7968559
Data Integration Engineer (Developer II),Holman,"Mount Laurel, NJ","From 120,000 a year",full-time,Mount Laurel,NJ,unknown,On site,39.934002,-74.8909988
Staff Data Engineer - Activision Blizzard Media,King,"San Francisco, CA","121,500 - 224,880 a year",unknown,San Francisco,CA,unknown,On site,37.7790262,-122.419906
"Sr Lead Data Engineer, Analytics R&D","Chick-fil-A, Inc.","Atlanta, GA 30349", 112K - 142K a year,unknown,Atlanta,GA,30349,On site,33.7489924,-84.3902644
"Engineer, Data Science",Estes Forwarding Worldwide,"Richmond, VA 23235", 72.7K - 92.1K a year,full-time,Richmond,VA,23235,On site,37.5385087,-77.43428
Senior Data Engineer,IntApp,"Remote in Charlotte, NC", 151K - 191K a year,full-time,Charlotte,NC,unknown,Remote,35.2272086,-80.8430827
Senior Software Engineer - Data Infrastructure,Applied Intuition,"Mountain View, CA","65,000 - 400,000 a year",unknown,Mountain View,CA,unknown,On site,37.3893889,-122.0832101
Data Operations Engineer,Verizon,"Remote in Temple Terrace, FL", 103K - 131K a year,full-time,Temple Terrace,FL,unknown,Remote,28.0352964,-82.3892596
"DPS - IT - Enterprise Data Engineer, Junior - 0243",TEXAS DEPARTMENT OF PUBLIC SAFETY,"Remote in Austin, TX 78752","4,599 - 6,066 a month",full-time,Austin,TX,78752,Remote,30.2711286,-97.7436995
Senior Data Engineer,SafeAI,"Santa Clara, CA","130,000 - 180,000 a year",full-time,Santa Clara,CA,unknown,On site,37.2333253,-121.6846349
Java Data Engineer,Intone Networks,"Plano, TX 75023", 113K - 143K a year,contract,Plano,TX,75023,On site,33.0136764,-96.6925096
IT DATA CENTER ENGINEER,Genesee County,"Flint, MI 48502",41.32 an hour,full-time,Flint,MI,48502,On site,43.0161693,-83.6900211
Information Data Analyst/ Data Visualization Engineer,Gazelle Global Consulting,"Dan, WV","72,440 a year",contract,Dan,WV,unknown,On site,9.88810425,10.198213113109587
"Senior Developer Technology Engineer, Data Analytics",NVIDIA,"Santa Clara, CA","144,000 - 270,250 a year",full-time,Santa Clara,CA,unknown,On site,37.2333253,-121.6846349
Cyber security Engineer III- Data Loss Prevention (DLP),Atlantic Health System,"Morristown, NJ 07960", 99.5K - 126K a year,full-time,Morristown,NJ,07960,On site,40.7970382,-74.4809868
"Principal / Electrical Engineer: Subsystems/Command & Data Handling (Top Secret) – Space / Satellite Systems (Gilbert, AZ)",Northrop Grumman,"Gilbert, AZ 85233","64,144 - 96,216 a year",unknown,Gilbert,AZ,85233,On site,33.3527632,-111.789037
Data Engineer,OneSource Regulatory,"Seattle, WA 98101 (Downtown area)", 101K - 128K a year,full-time,Seattle,WA,98101,On site,47.6038321,-122.330062
Data Engineer for NRG,Aimic Inc,Texas, 113K - 143K a year,unknown,unknown,unknown,unknown,On site,unknown,unknown
Wire data engineer,Techspace Solutions,"Fort Worth, TX 76102", 105K - 133K a year,full-time,Fort Worth,TX,76102,On site,32.753177,-97.3327459
Data Engineer,Colsh Consultants,"Bridgewater, NJ", 111K - 140K a year,unknown,Bridgewater,NJ,unknown,On site,41.9903787,-70.9750426
On-Site Electrical Engineer - Data Center,Olsson,"Phoenix, AZ 85020 (Camelback East area)", 76.5K - 96.9K a year,full-time,Phoenix,AZ,85020,On site,33.4484367,-112.074141
Data Engineer,Rockstar Games New York & New England,"Hybrid remote in New York, NY","89,500 - 119,400 a year",full-time,New York,NY,unknown,Hybrid remote,40.7127281,-74.0060152
Big Data Engineer,SoftTeco,Remote, 96.7K - 122K a year,unknown,unknown,unknown,unknown,On site,unknown,unknown
Entry Level Data Engineer,Diversified Services Network,"Hybrid remote in Peoria, IL 61603", 41.6K - 52.7K a year,full-time,Peoria,IL,61603,Hybrid remote,40.6938609,-89.5891008
Senior Data Engineer,Walmart,"Bentonville, AR 72712",unknown,unknown,Bentonville,AR,72712,On site,36.3728538,-94.2088172
Health & Wellbeing Data Engineer,Unilever,Remote,"83,200 - 124,700 a year",full-time,unknown,unknown,unknown,On site,unknown,unknown
"Data Engineer, Prescient Design",Genentech,"New York, NY 10001 (Chelsea area)", 86.6K - 110K a year,full-time,New York,NY,10001,On site,40.7127281,-74.0060152
Senior Data Engineer,GrowthLoop,"Remote in New York, NY","110,000 - 130,000 a year",unknown,New York,NY,unknown,Remote,40.7127281,-74.0060152
Data Engineer,TMSW,"Chicago, IL", 90.1K - 114K a year,full-time,Chicago,IL,unknown,On site,41.8755616,-87.6244212
Data Engineer,"TeamSoft, Inc - a Peoplelink Company","Hybrid remote in Des Moines, IA 50309","80,000 - 100,000 a year",unknown,Des Moines,IA,50309,Hybrid remote,41.5910323,-93.6046655
Data Engineer,Lake Trust Credit Union,"Hybrid remote in Brighton, MI 48114", 86.5K - 109K a year,unknown,Brighton,MI,48114,Hybrid remote,50.8214626,-0.1400561
Data Engineer,Benefitfocus,Remote, 101K - 128K a year,full-time,unknown,unknown,unknown,On site,unknown,unknown
"Senior Software Engineer, Data Engineering - NYC",Rokt,"Hybrid remote in New York, NY","120,000 - 200,000 a year",full-time,New York,NY,unknown,Hybrid remote,40.7127281,-74.0060152
Sr. Data Center Systems Engineer // Operations Team,CorKat Data Solutions,"Loveland, CO 80537", 96.7K - 122K a year,unknown,Loveland,CO,80537,On site,40.385549,-105.04436132094955
Sr. Software Data Engineer,TekBank,"Herndon, VA 20170", 105K - 133K a year,unknown,Herndon,VA,20170,On site,39.909726,-100.785153
Azure Data Engineer – Consultant,Avanade,"Indianapolis, IN", 115K - 146K a year,unknown,Indianapolis,IN,unknown,On site,39.7683331,-86.1583502
Senior Data Engineer,Acuity INC,Remote in Virginia, 124K - 157K a year,full-time,unknown,VA,unknown,Remote,unknown,unknown
"Software Engineer (L4), Data Platform APIs",Netflix,"Los Gatos, CA", 133K - 169K a year,unknown,Los Gatos,CA,unknown,On site,37.226611,-121.9746797
"Senior Data Engineer, Analytics",Standard AI,Remote, 133K - 168K a year,full-time,unknown,unknown,unknown,On site,unknown,unknown
Cloud Data and Storage Engineer-Remote!,"Criterion Systems, Inc.",Remote, 140K - 177K a year,full-time,unknown,unknown,unknown,On site,unknown,unknown
Anchor Software Engineer - Vehicle Data Command Center,Ford Motor Company,"Dearborn, MI", 110K - 139K a year,unknown,Dearborn,MI,unknown,On site,42.3222599,-83.1763145
Junior Big Data Platform Engineer,G-Research,"Dallas, TX", 96.6K - 122K a year,unknown,Dallas,TX,unknown,On site,32.7762719,-96.7968559
Salesforce Data Engineer,NewPage Digital Healthcare Solutions,Remote, 122K - 155K a year,unknown,unknown,unknown,unknown,On site,unknown,unknown
Data Quality Assurance Engineer,Infotrend,"Washington, DC 20002 (Capitol Hill area)", 108K - 137K a year,full-time,"Washington, DC",DC,20002,On site,38.8950368,-77.0365427
Senior Fullstack Engineer – Product & Benefits Data Hub,Humana,"Remote in Louisville, KY 40202",unknown,full-time,Louisville,KY,40202,Remote,38.2542376,-85.759407
SQL Data Engineer,Rochester Institute of Technology,"Rochester, NY 14623", 82.1K - 104K a year,full-time,Rochester,NY,14623,On site,43.157285,-77.615214
"Lead Engineer, Supply Chain Data Management","Chick-fil-A, Inc.","Atlanta, GA 30349", 125K - 158K a year,unknown,Atlanta,GA,30349,On site,33.7489924,-84.3902644
Software Engineer - Data Scientist,Tau,"Redwood City, CA", 123K - 156K a year,full-time,Redwood City,CA,unknown,On site,37.4863239,-122.232523
Senior Data Engineer & Analyst,Life House Hotels,"Remote in New York, NY","90,000 - 150,000 a year",unknown,New York,NY,unknown,Remote,40.7127281,-74.0060152
Data Analysis Engineer,Petrolink International,"Houston, TX", 76.7K - 97.1K a year,full-time,Houston,TX,unknown,On site,29.7589382,-95.3676974
Senior Data Engineer,"TeamSnap, Inc.",Remote, 126K - 159K a year,full-time,unknown,unknown,unknown,On site,unknown,unknown
Data Integration Engineer II,Texas Health Resources,"Arlington, TX 76011 (North area)",unknown,full-time,Arlington,TX,76011,On site,32.7355816,-97.1071186
Data Engineer,Enterra Solutions,Remote, 117K - 148K a year,full-time,unknown,unknown,unknown,On site,unknown,unknown
513th Electronic Warfare Mission Data Engineer,DCS Corp,"Niceville, FL", 86.5K - 110K a year,full-time,Niceville,FL,unknown,On site,30.5168639,-86.482172
Data Science Engineer,SunSoft Technologies,"Farmington Hills, MI 48335", 97.3K - 123K a year,unknown,Farmington Hills,MI,48335,On site,42.4853125,-83.3771553
Senior Data Engineer (Remote-First),European Wax Center,"Remote in Plano, TX 75024",unknown,full-time,Plano,TX,75024,Remote,33.0136764,-96.6925096
Data Engineer,Oregon Health & Science University,"Portland, OR 97239 (Homestead area)", 92.9K - 118K a year,full-time,Portland,OR,97239,On site,45.5202471,-122.674194
Senior Data Engineer,Visa,"Hybrid remote in Austin, TX", 146K - 185K a year,full-time,Austin,TX,unknown,Hybrid remote,30.2711286,-97.7436995
"Data Engineer, Cloud Ops",Presidio,"Hauppauge, NY 11788", 92.5K - 117K a year,full-time,Hauppauge,NY,11788,On site,40.8256537,-73.2026138
Data Engineer,Modak Analytics,"Louisville, KY", 98.1K - 124K a year,full-time,Louisville,KY,unknown,On site,38.2542376,-85.759407
Senior Azure Data Engineer,Moser Consulting,"Indianapolis, IN", 120K - 152K a year,full-time,Indianapolis,IN,unknown,On site,39.7683331,-86.1583502
"Data Engineer, Election Platforms (all-levels)",The Washington Post,"Remote in Washington, DC", 103K - 130K a year,full-time,"Washington, DC",DC,unknown,Remote,38.8950368,-77.0365427
"Senior Data Engineer, Data Solutions",Invitae,"Remote in San Francisco, CA 94107","138,400 - 173,000 a year",unknown,San Francisco,CA,94107,Remote,37.7790262,-122.419906
"Associate, Data Engineer (Spring 2023)",Search Discovery Recent Grads,"Cleveland, OH", 77.4K - 98K a year,unknown,Cleveland,OH,unknown,On site,41.4996574,-81.6936772
Data Quality Engineer,HRtoGO/OmegaComp HR,"Sacramento, CA 95833 (South Natomas area)", 81.8K - 104K a year,full-time,Sacramento,CA,95833,On site,38.5810606,-121.493895
Mid-level Product Data Management Engineer,BOEING,"Hybrid remote in Berkeley, MO","90,100 - 121,900 a year",unknown,Berkeley,MO,unknown,Hybrid remote,37.8708393,-122.272863
Data Engineer,Evaya Data Systems,"Allen, TX", 109K - 138K a year,unknown,Allen,TX,unknown,On site,40.8077797,-84.0572225
Data Engineer III,DataEconomy,"Dublin, OH 43017", 109K - 139K a year,unknown,Dublin,OH,43017,On site,53.3493795,-6.2605593
Data Engineer,TheRIIM LLC,"Houston, TX", 114K - 144K a year,full-time,Houston,TX,unknown,On site,29.7589382,-95.3676974
Senior Data Engineer,SymphonyRM,"Palo Alto, CA 94301 (Professorville area)", 128K - 162K a year,unknown,Palo Alto,CA,94301,On site,37.4443293,-122.1598465
Senior Data Engineer - Azure,HCSS,"Hybrid remote in Sugar Land, TX", 120K - 152K a year,full-time,Sugar Land,TX,unknown,Hybrid remote,29.6196787,-95.6349463
Sr. Data Engineer,Luma Financial Technologies,"Remote in Cincinnati, OH", 109K - 138K a year,unknown,Cincinnati,OH,unknown,Remote,39.1014537,-84.5124602
Senior Data Engineer,Electric Hydrogen,"Remote in San Carlos, CA 94070", 156K - 198K a year,unknown,San Carlos,CA,94070,Remote,37.504936,-122.261823
Data Engineer,Omnitech Inc,"Sioux Falls, SD 57108", 92.7K - 117K a year,full-time,Sioux Falls,SD,57108,On site,43.5488256,-96.7307737
Sr. Data Engineer,NexTek,"Hybrid remote in Shoreview, MN 55126", 77.4K - 98K a year,full-time,Shoreview,MN,55126,Hybrid remote,45.0722056,-93.1282878
Senior Data Engineer,SymphonyRM,"Palo Alto, CA 94301 (Professorville area)", 128K - 162K a year,unknown,Palo Alto,CA,94301,On site,37.4443293,-122.1598465
Senior Data Engineer - Azure,HCSS,"Hybrid remote in Sugar Land, TX", 120K - 152K a year,full-time,Sugar Land,TX,unknown,Hybrid remote,29.6196787,-95.6349463
Sr. Data Engineer,Luma Financial Technologies,"Remote in Cincinnati, OH", 109K - 138K a year,unknown,Cincinnati,OH,unknown,Remote,39.1014537,-84.5124602
Sr. Data Engineer,NexTek,"Hybrid remote in Shoreview, MN 55126", 77.4K - 98K a year,full-time,Shoreview,MN,55126,Hybrid remote,45.0722056,-93.1282878
Senior Data Engineer,Electric Hydrogen,"Remote in San Carlos, CA 94070", 156K - 198K a year,unknown,San Carlos,CA,94070,Remote,37.504936,-122.261823
Data Engineer,Omnitech Inc,"Sioux Falls, SD 57108", 92.7K - 117K a year,full-time,Sioux Falls,SD,57108,On site,43.5488256,-96.7307737
Data Engineer,"Global Enterprise Services, LLC","Atlanta, GA 30329","86,000 - 96,000 a year",full-time,Atlanta,GA,30329,On site,33.7489924,-84.3902644
KMAP Data Engineer,University of Arizona,"Tucson, AZ",unknown,full-time,Tucson,AZ,unknown,On site,32.2228765,-110.9748477
Data Engineer,DocsInk LLC,"Wrightsville Beach, NC 28480","70,000 - 110,000 a year",full-time,Wrightsville Beach,NC,28480,On site,34.2079917,-77.7955907
Senior Data Engineer,GeniusRx,"Boca Raton, FL 33431", 105K - 133K a year,full-time,Boca Raton,FL,33431,On site,26.3586885,-80.0830984
"Data Engineer, Finance",Notion,"San Francisco, CA 94110 (Mission area)","130,000 - 250,000 a year",unknown,San Francisco,CA,94110,On site,37.7790262,-122.419906
Data Engineer,Nyla Technology Solutions,"Remote in Washington, DC", 102K - 129K a year,full-time,"Washington, DC",DC,unknown,Remote,38.8950368,-77.0365427
Remote Senior Data Engineer,Kforce,"Remote in Pittsburgh, PA 15220",55 - 70 an hour,contract,Pittsburgh,PA,15220,Remote,40.4416941,-79.9900861
Sr. Data Engineers,GSPANN Technologie,"Portland, OR", 109K - 138K a year,full-time,Portland,OR,unknown,On site,45.5202471,-122.674194
Senior Data Engineer,DocuSign,"Hybrid remote in San Francisco, CA 94105","123,700 - 174,700 a year",unknown,San Francisco,CA,94105,Hybrid remote,37.7790262,-122.419906
Senior Data Engineer,DocuSign,"Hybrid remote in San Francisco, CA 94105","123,700 - 174,700 a year",unknown,San Francisco,CA,94105,Hybrid remote,37.7790262,-122.419906
Sr. Data Engineers,GSPANN Technologie,"Portland, OR", 109K - 138K a year,full-time,Portland,OR,unknown,On site,45.5202471,-122.674194
Senior Data Engineer,Tater,"Lehi, UT 84043", 106K - 135K a year,full-time,Lehi,UT,84043,On site,40.41389985,-111.89625256792903
Data Engineer,Kraft Heinz Company,"Hybrid remote in Chicago, IL", 94.9K - 120K a year,unknown,Chicago,IL,unknown,Hybrid remote,41.8755616,-87.6244212
Data Research Engineer - Radiology Research,NYU Langone,"New York, NY 10016 (Tudor City area)","73,771 - 85,000 a year",full-time,New York,NY,10016,On site,40.7127281,-74.0060152
"Backend Software Engineer, Data Engineering",Zoox,"Foster City, CA","164,000 - 234,000 a year",full-time,Foster City,CA,unknown,On site,37.5600336,-122.2688522
Data Engineer,Loopback Analytics,"Dallas, TX 75254 (Far North area)", 109K - 138K a year,full-time,Dallas,TX,75254,On site,32.7762719,-96.7968559
"Senior Data Engineer, Analytics",CLEAR - Corporate,"Hybrid remote in New York, NY","175,000 - 215,000 a year",unknown,New York,NY,unknown,Hybrid remote,40.7127281,-74.0060152
Data Engineer,Oak Ridge National Laboratory,"Oak Ridge, TN 37830", 96.5K - 122K a year,unknown,Oak Ridge,TN,37830,On site,36.0103562,-84.2696449
Data Analytics Engineer - Cons II,Allstate,"Remote in Chicago, IL","93,000 - 126,000 a year",unknown,Chicago,IL,unknown,Remote,41.8755616,-87.6244212
Data Engineers,ANALYTOS,"Austin, TX", 91K - 115K a year,unknown,Austin,TX,unknown,On site,30.2711286,-97.7436995
Talented Senior Data Engineer,The HT Group,"Hybrid remote in Austin, TX", 121K - 153K a year,unknown,Austin,TX,unknown,Hybrid remote,30.2711286,-97.7436995
Clinical Data Configuration Engineer,Takeda Pharmaceutical,"Remote in Boston, MA","91,700 - 131,000 a year",full-time,Boston,MA,unknown,Remote,42.3554334,-71.060511
AWS Data Engineer II,Shift4,"Remote in Allentown, PA 18109", 82.4K - 104K a year,full-time,Allentown,PA,18109,Remote,40.6022059,-75.4712794
GCP Data Architect/Engineer,Experfy Inc,"San Francisco, CA", 132K - 167K a year,contract,San Francisco,CA,unknown,On site,37.7790262,-122.419906
IT Specialist (Datamgt) Data Engineer,US Bureau of the Fiscal Service,"Remote in Wallops Island, VA","69,107 - 158,432 a year",full-time,Wallops Island,VA,unknown,Remote,37.88387115,-75.45616657057555
Senior Data Engineer,Reverb,"Chicago, IL 60657 (Lake View area)","128,000 - 166,000 a year",full-time,Chicago,IL,60657,On site,41.8755616,-87.6244212
Engineer III - Test Data Management (Hybrid Work Schedule),Inland Empire Health Plans,"Rancho Cucamonga, CA 91730","103,709 - 132,226 a year",full-time,Rancho Cucamonga,CA,91730,On site,34.1033192,-117.5751735
General Engineer/Physical Scientist/Data Scientist,US Environmental Protection Agency,"Hybrid remote in Washington, DC 20004","64,957 - 102,166 a year",full-time,"Washington, DC",DC,20004,Hybrid remote,38.8950368,-77.0365427
"Data Engineer I, Data Infrastructure",Horizon,"Deerfield, IL 60015", 70.1K - 88.8K a year,full-time,Deerfield,IL,60015,On site,42.1711365,-87.8445119
Mechanical QAQC Engineer - Data Center,Olsson,"Phoenix, AZ 85020 (Camelback East area)", 89.6K - 113K a year,full-time,Phoenix,AZ,85020,On site,33.4484367,-112.074141
Senior Data Engineer,Grid,"San Francisco, CA 94123 (Marina area)", 123K - 156K a year,full-time,San Francisco,CA,94123,On site,37.7790262,-122.419906
Data Engineer,proit-inc,"Bellevue, WA","88,625 - 105,191 a year",full-time,Bellevue,WA,unknown,On site,47.6144219,-122.192337
Data Engineer II,Meridian Cooperative,"Hybrid remote in Dunwoody, GA 30338","85,000 - 95,000 a year",full-time,Dunwoody,GA,30338,Hybrid remote,33.9463786,-84.3342686
Data Analyst / Engineer,WELLS FARGO BANK,"Charlotte, NC",unknown,full-time,Charlotte,NC,unknown,On site,35.2272086,-80.8430827
