job_title,company_name,company_address,estimated_salary_usd,work_hour,city,state,zipcode,work_type,latitude,longitude
DATA ENGINEER,TRA'BIAN ENTERPRISES,"Dallas, TX", 106K - 134K a year,contract,Dallas,TX,unknown,On site,32.7762719,-96.7968559
Data Science/ Machine Learning Engineer,ICS Global Soft,"Irving, TX 75038 (Cottonwood area)", 111K - 141K a year,unknown,Irving,TX,75038,On site,32.8295183,-96.9442177
Data Engineer,Technology & Business Management Inc.,Remote,"100,000 - 110,000 a year",full-time,unknown,unknown,unknown,On site,unknown,unknown
Software Engineer (Big Data Focus) Level 3,Kforce,"Remote in Cincinnati, OH 45202",48.45 - 65.55 an hour,contract,Cincinnati,OH,45202,Remote,39.1014537,-84.5124602
Data Engineer Developer (Fixed Income),Artint Knowledge Tech,"East Newark, NJ 07029","100,000 - 140,000 a year",full-time,East Newark,NJ,07029,On site,40.7501076,-74.1611525
Data Integrity Engineer - Aveva PI,Meta,"Remote in Houston, TX 77001", 108K - 136K a year,unknown,Houston,TX,77001,Remote,29.7589382,-95.3676974
Data Engineer,Helm,"Columbia, MD 21044", 102K - 129K a year,full-time,Columbia,MD,21044,On site,4.099917,-72.9088133
Voice and Data Engineer,Leidos,"Arlington, VA 22201","54,600 - 113,400 a year",full-time,Arlington,VA,22201,On site,32.7355816,-97.1071186
Data Engineer,Northeastern University,"Hybrid remote in Boston, MA 02115","82,725 - 93,000 a year",full-time,Boston,MA,02115,Hybrid remote,42.3554334,-71.060511
Data Analytics Engineer,Shamrock Foods Company,"Phoenix, AZ 85018 (Camelback East area)",unknown,full-time,Phoenix,AZ,85018,On site,33.4484367,-112.074141
Data Engineer,Stellantis,Remote, 103K - 130K a year,unknown,unknown,unknown,unknown,On site,unknown,unknown
Senior Data Engineer,GeneDx,Remote,"192,000 - 229,000 a year",unknown,unknown,unknown,unknown,On site,unknown,unknown
Data Engineer Leader,Synopsys,"Mountain View, CA","117,000 - 204,000 a year",unknown,Mountain View,CA,unknown,On site,37.3893889,-122.0832101
Lead Data Engineer/Data Architect,Hachette Book Group,"Remote in New York, NY 10104","138,000 - 174,400 a year",full-time,New York,NY,10104,Remote,40.7127281,-74.0060152
Manager Data Engineer Lead,Inclusively,"Collegeville, PA 19426","90,800 - 151,300 a year",full-time,Collegeville,PA,19426,On site,40.1856597,-75.451571
Principal Data Analytics Engineer,LendingClub,"San Francisco, CA","195,000 - 230,000 a year",full-time,San Francisco,CA,unknown,On site,37.7790262,-122.419906
Sr. Data Engineer,mBridge Solutions,"Houston, TX", 125K - 158K a year,contract,Houston,TX,unknown,On site,29.7589382,-95.3676974
AI Data Engineer,Reorg Research,Remote, 98.7K - 125K a year,full-time,unknown,unknown,unknown,On site,unknown,unknown
Azure Data Engineer,Allruva Technology Services,"Irving, TX 75063", 109K - 138K a year,unknown,Irving,TX,75063,On site,32.8295183,-96.9442177
